YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_DELAY,TAXI_OUT,SCHEDULED_TIME,DISTANCE,SCHEDULED_ARRIVAL,ARRIVAL_DELAY,DIVERTED,CANCELLED
2015,8,7,5,NK,226,MYR,IAG,1111,-20.0,10.0,109.0,650,1300,-22.0,0,0
2015,9,10,4,WN,549,MCO,BNA,1800,298.0,15.0,115.0,616,1855,292.0,0,0
2015,4,8,3,DL,2373,ATL,MIA,1243,0.0,11.0,117.0,594,1440,-17.0,0,0
2015,11,24,2,AA,1506,BWI,DFW,1030,-1.0,15.0,219.0,1217,1309,-17.0,0,0
2015,6,8,1,MQ,3437,ORD,PIA,845,0.0,17.0,58.0,130,943,-9.0,0,0
2015,3,3,2,UA,1173,IAD,DEN,1729,28.0,27.0,245.0,1452,1934,59.0,0,0
2015,8,13,4,MQ,3110,DFW,ABI,1030,136.0,10.0,58.0,158,1128,120.0,0,0
2015,4,18,6,UA,1752,EWR,PBI,1810,9.0,20.0,192.0,1023,2122,-25.0,0,0
2015,8,1,6,WN,1381,PHL,MDW,1130,-5.0,14.0,125.0,668,1235,4.0,0,0
2015,6,29,1,DL,2210,JFK,TPA,810,77.0,23.0,177.0,1005,1107,86.0,0,0
2015,3,2,1,EV,4523,CVG,IAH,620,-3.0,32.0,180.0,871,820,5.0,0,0
2015,5,13,3,WN,4575,ISP,MCO,1610,13.0,9.0,165.0,971,1855,3.0,0,0
2015,4,12,7,WN,3493,LAS,DTW,1220,-7.0,15.0,245.0,1749,1925,-23.0,0,0
2015,7,20,1,WN,1143,BWI,MKE,1620,4.0,13.0,120.0,641,1720,-3.0,0,0
2015,12,18,5,AS,750,SEA,ATL,1615,-3.0,12.0,283.0,2182,2358,-33.0,0,0
2015,4,7,2,WN,3709,BOI,LAS,1155,-2.0,9.0,100.0,519,1235,3.0,0,0
2015,1,17,6,VX,772,DAL,LGA,1555,-8.0,12.0,180.0,1381,1955,1.0,0,0
2015,4,8,3,UA,794,SFO,LIH,905,1.0,17.0,336.0,2447,1141,-16.0,0,0
2015,4,20,1,B6,1099,LGA,MCO,630,-10.0,30.0,167.0,950,917,-1.0,0,0
2015,12,19,6,HA,515,OGG,HNL,2302,-8.0,8.0,34.0,100,2336,-8.0,0,0
2015,5,31,7,WN,1011,RDU,ATL,1810,13.0,14.0,85.0,356,1935,12.0,0,0
2015,1,11,7,AA,1125,DTW,DFW,605,-4.0,13.0,189.0,986,814,-12.0,0,0
2015,6,2,2,OO,5364,MKE,ORD,1359,-7.0,12.0,54.0,67,1453,-14.0,0,0
2015,2,7,6,DL,1794,MSP,TPA,2010,-5.0,17.0,190.0,1306,20,-17.0,0,0
2015,1,16,5,MQ,2991,BMI,DFW,702,-8.0,28.0,143.0,690,925,-8.0,0,0
2015,5,29,5,AS,384,PDX,SFO,2130,-5.0,12.0,108.0,550,2318,-12.0,0,0
2015,5,28,4,AA,61,MIA,DFW,929,-7.0,17.0,198.0,1121,1147,-22.0,0,0
2015,10,29,4,EV,4129,11618,14492,2053,13.0,25.0,99.0,416,2232,14.0,0,0
2015,3,27,5,B6,2101,BUF,JFK,736,-10.0,17.0,85.0,301,901,-13.0,0,0
2015,8,18,2,OO,4446,SLC,COS,1400,-5.0,14.0,102.0,411,1542,-24.0,0,0
2015,9,11,5,OO,7380,SLC,CDC,1700,-1.0,12.0,50.0,221,1750,3.0,0,0
2015,3,16,1,US,687,PHX,EWR,845,5.0,39.0,277.0,2133,1622,20.0,0,0
2015,3,19,4,WN,3237,SFO,SAN,1910,-5.0,9.0,85.0,447,2035,-13.0,0,0
2015,6,26,5,WN,2961,OAK,BWI,1250,2.0,7.0,310.0,2447,2100,-12.0,0,0
2015,9,17,4,UA,388,ORD,MSP,605,-3.0,13.0,91.0,334,736,18.0,0,0
2015,1,23,5,MQ,3060,ORD,LSE,1630,3.0,27.0,66.0,215,1736,12.0,0,0
2015,1,8,4,OO,4446,SLC,COS,1535,-5.0,24.0,93.0,411,1708,-2.0,0,0
2015,1,26,1,B6,1094,AUS,JFK,1240,22.0,14.0,211.0,1521,1711,24.0,0,0
2015,8,10,1,B6,61,BOS,SJU,845,39.0,21.0,239.0,1674,1244,57.0,0,0
2015,11,7,6,DL,2830,MCO,ATL,1930,-2.0,14.0,96.0,404,2106,-9.0,0,0
2015,6,3,3,AS,608,SEA,LAS,2135,7.0,16.0,139.0,867,2354,5.0,0,0
2015,3,8,7,B6,497,BOS,SEA,1852,-3.0,29.0,373.0,2496,2205,11.0,0,0
2015,5,21,4,US,1863,PHL,BOS,915,-6.0,9.0,74.0,280,1029,-14.0,0,0
2015,1,2,5,AA,2495,RNO,DFW,1235,51.0,15.0,190.0,1345,1745,66.0,0,0
2015,5,13,3,DL,1326,OMA,ATL,655,-4.0,14.0,136.0,821,1011,-15.0,0,0
